district,year,lat,lng,temperature_increase_c,sea_level_rise_m,rainfall_change_pct,cyclone_intensity_index,humidity_pct,river_overflow_index,deforestation_pct,flood_risk_pct,crop_loss_pct,migration_people,disease_risk_pct,economic_damage_usd
Barisal,2083,22.701,90.3535,2.87,2.95,47.31,5.59,73.37,61.61,27.94,73.66,53.28,415775,54.91,107533978.98
Noakhali,2087,22.8696,91.0995,4.27,2.17,40.33,7.34,86.88,60.17,30.05,66.3,68.1,384019,51.11,119939274.02
Cox's Bazar,2060,21.4272,92.0058,2.93,1.82,30.46,10.0,76.29,39.86,17.82,73.63,77.97,546960,54.21,163453652.16
Shariatpur,2075,23.2423,90.4348,3.93,2.06,20.02,8.1,81.03,55.95,35.3,66.59,61.75,319825,54.46,118318563.28
Pirojpur,2078,22.5841,89.972,3.22,1.96,21.62,7.77,89.62,43.02,36.88,52.46,53.54,296211,52.93,114369579.93
Comilla,2048,23.4607,91.1809,1.79,0.56,32.07,5.23,69.8,22.2,13.78,32.14,32.16,94775,28.82,30028324.79
Bogura,2075,24.8465,89.3776,3.09,1.0,20.07,6.19,78.04,28.33,32.23,30.4,30.72,49014,34.93,19406164.37
Patuakhali,2053,22.3596,90.3296,1.97,1.41,-4.11,4.47,70.05,29.68,25.66,34.7,32.18,193113,31.58,59114189.19
Comilla,2059,23.4607,91.1809,2.42,0.55,18.51,7.61,68.26,50.12,25.97,41.21,32.6,117739,37.2,43760047.06
Chittagong,2072,22.3569,91.7832,4.47,1.88,13.45,8.12,81.33,73.57,34.21,74.9,72.4,364952,54.38,124122494.82
Bogura,2069,24.8465,89.3776,1.95,1.03,24.27,4.02,73.6,49.02,33.44,45.81,48.52,70506,29.18,11763813.76
Sylhet,2045,24.8949,91.8687,1.28,0.6,8.82,5.31,83.53,40.89,19.06,28.34,19.57,72257,34.31,38205831.98
Rangpur,2083,25.7439,89.2752,4.49,0.5,15.43,5.68,76.84,80.18,23.9,50.28,26.51,63082,43.71,17434369.34
Rangpur,2044,25.7439,89.2752,1.36,0.67,10.78,2.67,69.36,38.57,32.7,26.12,20.54,28921,34.33,9777113.73
Chittagong,2075,22.3569,91.7832,4.22,2.33,53.04,8.33,72.99,34.14,41.54,79.13,71.43,455770,63.96,124653606.59
Bagerhat,2048,22.6602,89.7895,2.59,0.99,19.12,6.07,79.48,62.77,21.86,56.29,36.34,246187,42.26,59854174.35
Noakhali,2040,22.8696,91.0995,1.43,1.31,-3.9,5.79,73.69,32.56,27.02,46.0,50.24,222311,35.89,72008355.84
Shariatpur,2067,23.2423,90.4348,3.1,1.01,28.16,7.57,94.58,77.19,19.37,57.87,42.27,205238,54.81,95315519.85
Bagerhat,2088,22.6602,89.7895,3.42,1.65,32.76,7.3,78.54,48.77,31.05,50.56,45.98,376947,39.52,73444201.66
Sylhet,2087,24.8949,91.8687,6.0,1.3,29.28,8.88,91.99,41.65,29.57,60.45,58.48,237749,51.04,64154274.02
Jhalokati,2026,22.6406,90.1987,0.83,0.45,2.07,5.42,81.18,32.81,18.08,33.35,33.44,119503,38.27,46812131.25
Satkhira,2043,22.7185,89.0705,3.1,1.21,5.75,4.28,84.07,43.21,23.64,32.16,37.87,162422,28.98,45106644.17
Shariatpur,2084,23.2423,90.4348,3.8,1.92,32.05,7.93,82.21,78.82,10.2,67.54,55.5,316374,52.6,64110456.13
Patuakhali,2056,22.3596,90.3296,3.83,0.8,35.36,6.46,77.94,30.41,20.59,53.83,55.86,414266,51.92,113498867.93
Bogura,2089,24.8465,89.3776,4.34,1.31,31.15,7.81,77.64,65.67,22.64,54.94,39.27,100115,49.14,39532640.69
Shariatpur,2031,23.2423,90.4348,0.02,0.45,-5.18,3.97,84.71,42.28,11.01,22.22,23.16,58409,27.28,28124000.71
Bhola,2067,22.6859,90.6482,3.45,0.91,31.37,7.88,81.96,76.42,9.69,61.56,62.65,300824,64.34,153885111.62
Dhaka,2056,23.8103,90.4125,1.99,1.17,38.43,6.14,79.71,45.22,16.36,38.79,33.63,82145,43.19,21013436.78
Dhaka,2054,23.8103,90.4125,3.54,0.36,9.27,5.96,83.16,40.61,33.37,40.66,38.88,91442,51.47,27165089.01
Bhola,2034,22.6859,90.6482,2.7,0.45,15.22,7.66,66.35,15.98,4.59,37.65,48.74,274748,42.25,68076717.22
Cox's Bazar,2100,21.4272,92.0058,4.54,2.88,46.89,10.0,83.83,79.0,36.83,99.7,81.99,721846,72.31,288277016.02
Khulna,2094,22.8456,89.5403,4.64,2.96,35.84,10.0,70.4,46.43,21.54,75.48,71.48,673420,58.75,215881908.52
Sylhet,2078,24.8949,91.8687,4.54,1.62,51.5,7.88,75.63,43.7,17.29,50.43,47.89,217295,55.2,47818202.49
Jhalokati,2029,22.6406,90.1987,0.35,0.67,9.63,1.94,81.0,22.84,11.8,13.61,11.97,52658,22.36,18133173.36
Noakhali,2036,22.8696,91.0995,2.57,0.54,-7.75,7.18,74.18,52.2,21.0,47.95,49.7,349549,58.13,91125889.81
Rangpur,2046,25.7439,89.2752,2.84,0.04,23.4,4.72,79.12,24.11,7.88,12.59,11.89,16278,23.21,11105606.53
Bhola,2042,22.6859,90.6482,1.02,1.18,10.69,5.64,77.93,48.26,16.82,52.96,38.4,256178,59.96,85007975.93
Sylhet,2080,24.8949,91.8687,3.64,2.0,31.15,7.59,76.19,59.92,22.85,65.11,58.61,268300,48.24,89595699.71
Pirojpur,2038,22.5841,89.972,2.36,0.0,10.17,2.36,67.42,56.84,25.63,27.49,15.69,38817,26.03,37059139.3
Noakhali,2083,22.8696,91.0995,3.26,2.69,9.79,8.13,81.78,57.63,36.79,78.84,69.63,427039,63.56,210240590.92
